date,project_id,number_of_transactions,total_volume_usd
2024-04-02,4974,97,3523487832709383680.00
2024-04-15,4974,149,224.74
2024-04-15,1660,1,5.17
2024-04-15,43,4,16845577550209857536.00
2024-04-01,1609,13,23180094073303945216.00
2024-04-01,4974,100,5953969974163725312.00
2024-04-16,1609,7,5470025912859353088.00
2024-04-16,4974,40,21001454922314350592.00
2024-04-02,1609,9,20204516857763897344.00
2024-04-15,0,292,376.12
2024-04-01,0,102,52220432855010910208.00
2024-04-15,1609,20,87921676571994882048.00
2024-04-02,0,104,37192371567476523008.00
2024-04-16,0,62,31.57
